id,title,authors,abstract,field,field_multi,is_AP,is_NA
2503.22662v1,Three-phase Muskat problem: uniform lifespan with respect to the distance between interfaces,Ángel Castro; Liangchen Zou,"We consider the three-phase Muskat problem with different densities and the same viscosities. We study the lifespan of the solutions with respect to the distance between interfaces, $d$. It is shown that if the initial distance, $d_0$, satisfies $\sigma/2<d_0<\sigma$, with $\sigma>0$ small, then the existence time in real-analytic spaces does not depend on $\sigma.$",AP,AP,1,0
2503.22621v1,Improved error estimates for low-regularity integrators using space-time bounds,Maximilian Ruff,"We prove optimal convergence rates for certain low-regularity integrators applied to the one-dimensional periodic nonlinear Schr\""odinger and wave equations under the assumption of $H^1$ solutions. For the Schr\""odinger equation we analyze the exponential-type scheme proposed by Ostermann and Schratz in 2018, whereas in the wave case we treat the corrected Lie splitting proposed by Li, Schratz, and Zivcovich in 2023. We show that the integrators converge with their full order of one and two, respectively. In this situation only fractional convergence rates were previously known. The crucial ingredients in the proofs are known space-time bounds for the solutions to the corresponding linear problems. More precisely, in the Schr\""odinger case we use the $L^4$ Strichartz inequality, and for the wave equation a null form estimate. To our knowledge, this is the first time that a null form estimate is exploited in numerical analysis. We apply the estimates for continuous time, thus avoiding potential losses resulting from discrete-time estimates.",AP_NA,AP;NA,1,1
2503.22599v1,Zero-homogeneous and $O(2)$-equivariant critical points of the Oseen-Frank energy with multiple Frank constants,Luc Nguyen,We give an existence and classification result for zero-homogeneous and $O(2)$-equivariant critical points of the Oseen-Frank energy with multiple Frank constants. These critical points carry a topological defect of degree one and are minimizing with respect to $O(2)$-equivariant perturbations supported away from the axis of symmetry.,AP,AP,1,0
2503.22439v1,One dimensional wave equation with in-domain localized damping and Wentzell boundary conditions,Abdelhakim Dahmani; Yacine Chitour; Hoai-Minh Nguyen; Christophe Roman,"This paper is devoted to the exponential stability for one-dimensional linear wave equations with in-domain localized damping and several types of Wentzell (or dynamic) boundary conditions. In a quite general boundary setting, we establish the exponential decay of solutions towards the corresponding steady states. The results are obtained either by the multiplier method or spectral analysis in an $L^2$-functional framework, and then with input-to-state technics in an $L^p$-functional framework for $p \in (2,\infty)$.",AP,AP,1,0
2503.22432v1,Polynomial stability of wind turbine tower models,Mohamed Fkirine; Lassi Paunonen,"We investigate the stabilization of mathematical models describing the structural dynamics of monopile wind turbine towers. In the fore-aft plane, we show that the system becomes polynomially stable with an energy decay rate of $t^{-1}$ under static output feedback that relies on the velocity and/or angular velocity of the nacelle. Additionally, we prove that a tuned mass damper (TMD) in the nacelle ensures polynomial stability with the same energy decay rate, offering a viable alternative to active control. For the side-to-side plane, we analyze a model incorporating a hydraulic power transmission system and prove that feedback from the nacelle's angular velocity and the generator load torque leads to polynomial stability of the system.",AP,AP,1,0
2503.22371v1,Critical double phase problems involving sandwich-type nonlinearities,Csaba Farkas; Alessio Fiscella; Ky Ho; Patrick Winkert,"In this paper we study problems with critical and sandwich-type growth represented by   \begin{equation*}   -\operatorname{div}\Big(|\nabla u|^{p-2}\nabla u + a(x)|\nabla u|^{q-2}\nabla u\Big) = \lambda w(x)|u|^{s-2}u+\theta B\left(x,u\right) \quad\text{in } \Omega,\quad u = 0 \quad \text{on } \partial \Omega,   \end{equation*}   where $\Omega\subset\mathbb{R}^N$ is a bounded domain with Lipschitz boundary $\partial\Omega$, $1<p<s<q<N$, $\frac{q}{p}<1+\frac{1}{N}$, $0\leq a(\cdot)\in C^{0,1}(\overline{\Omega})$, $\lambda$, $\theta$ are real parameters, $w$ is a suitable weight and $B\colon \overline{\Omega}\times \mathbb{R}\to\mathbb{R}$ is given by   \begin{align*}   B(x,t) :=b_0(x)|t|^{p^*-2}t+b(x)|t|^{q^*-2}t,   \end{align*}   where $r^*:=Nr/(N-r)$ for $r\in\{p,q\}$. Here the right-hand side combines the effect of a critical term given by $B(\cdot,\cdot)$ and a sandwich-type perturbation with exponent $s \in (p,q)$. Under different values of the parameters $\lambda$ and $\theta$, we prove the existence and multiplicity of solutions to the problem above. For this, we mainly exploit different variational methods combined with topological tools, like a new concentration-compactness principle, a suitable truncation argument and the Krasnoselskii's genus theory, by considering very mild assumptions on the data $a(\cdot)$, $b_0(\cdot)$ and $b(\cdot)$.",AP,AP,1,0
2503.22297v1,A posteriori error estimates for the finite element discretization of second-order PDEs set in unbounded domains,T. Chaumont-Frelet,"We consider second-order PDE problems set in unbounded domains and discretized by Lagrange finite elements on a finite mesh, thus introducing an artificial boundary in the discretization. Specifically, we consider the reaction diffusion equation as well as Helmholtz problems in waveguides with perfectly matched layers. The usual procedure to deal with such problems is to first consider a modeling error due to the introduction of the artificial boundary, and estimate the remaining discretization error with a standard a posteriori technique. A shortcoming of this method, however, is that it is typically hard to obtain sharp bounds on the modeling error. In this work, we propose a new technique that allows to control the whole error by an a posteriori error estimator. Specifically, we propose a flux-equilibrated estimator that is slightly modified to handle the truncation boundary. For the reaction diffusion equation, we obtain fully-computable guaranteed error bounds, and the estimator is locally efficient and polynomial-degree-robust provided that the elements touching the truncation boundary are not too refined. This last condition may be seen as an extension of the notion of shape-regularity of the mesh, and does not prevent the design of efficient adaptive algorithms. For the Helmholtz problem, as usual, these statements remain valid if the mesh is sufficiently refined. Our theoretical findings are completed with numerical examples which indicate that the estimator is suited to drive optimal adaptive mesh refinements.",AP_NA,AP;NA,1,1
2503.22274v1,Orr-Sommerfeld equation and complex deformation,Malo Jézéquel; Jian Wang,"For shear flows in a 2D channel, we define resonances near regular values of the shear profile for the Rayleigh equation under an analyticity assumption. This is done via complex deformation of the interval on which Rayleigh equation is considered. We show such resonances are inviscid limits of the eigenvalues of the corresponding Orr--Sommerfeld equation.",AP,AP,1,0
2503.22142v1,A New Structure for the 2D water wave equation: Energy stability and Global well-posedness,Qingtang Su; Siwei Wang,"We study the two-dimensional gravity water waves with a one-dimensional interface with small initial data. Our main contributions include the development of two novel localization lemmas and a Transition-of-Derivatives method, which enable us to reformulate the water wave system into the following simplified structure: $$(D_t^2-iA\partial_{\alpha})\theta=i\frac{t}{\alpha}|D_t^2\zeta|^2D_t\theta+R$$ where $R$ behaves well in the energy estimate. As a key consequence, we derive the uniform bound $$   \sup_{t\geq 0}\Big(\norm{D_t\zeta(\cdot,t)}_{H^{s+1/2}}+\norm{\zeta_{\alpha}(\cdot,t)-1}_{H^s}\Big)\leq C\epsilon, $$ which enhances existing global uniform energy estimates for 2D water waves by imposing less restrictive constraints on the low-frequency components of the initial data.",AP,AP,1,0
2503.22090v1,Relatively non-degenerate integrated decay estimates on subextremal Kerr de Sitter,Georgios Mavrogiannis,"We study the Klein--Gordon equation $\Box\psi-\mu^2_{\textit{KG}}\psi=0$ on subextremal Kerr de Sitter black hole backgrounds with parameters $(a,M,l)$, where $l^2=\frac{3}{\Lambda}$. We prove a ""relatively non degenerate integrated"" decay estimate assuming an appropriate mode stability statement for real frequency solutions of Carter's radial ode. Our results, in particular, apply unconditionally in the very slowly rotating case $|a|\ll M,l$, and in the case where $\psi$ is axisymmetric. Exponential decay for $\psi$ to a constant is a consequence of this estimate.   To prove our result, we introduce a novel pseudodifferential commutation operator $\mathcal{G}$ that generalizes our previous purely physical space commutation \cite{mavrogiannis} and we use it in conjunction with the Morawetz estimate of our companion \cite{mavrogiannis4}. This pseudodifferential operator is defined using Fourier decomposition with respect to time frequencies $\omega$ and azimuthal frequencies $m$, but does not require Carter's full separation.",AP,AP,1,0
