node,index,community,paper_id,title
0,0,17,2503.22662v1,Three-phase Muskat problem: uniform lifespan with respect to the distance between interfaces
1,1,2,2503.22621v1,Improved error estimates for low-regularity integrators using space-time bounds
2,2,26,2503.22599v1,Zero-homogeneous and $O(2)$-equivariant critical points of the Oseen-Frank energy with multiple Frank constants
3,3,12,2503.22439v1,One dimensional wave equation with in-domain localized damping and Wentzell boundary conditions
4,4,57,2503.22432v1,Polynomial stability of wind turbine tower models
5,5,0,2503.22371v1,Critical double phase problems involving sandwich-type nonlinearities
6,6,16,2503.22297v1,A posteriori error estimates for the finite element discretization of second-order PDEs set in unbounded domains
7,7,30,2503.22274v1,Orr-Sommerfeld equation and complex deformation
8,8,12,2503.22142v1,A New Structure for the 2D water wave equation: Energy stability and Global well-posedness
9,9,26,2503.22090v1,Relatively non-degenerate integrated decay estimates on subextremal Kerr de Sitter
10,10,0,2503.22086v1,"Multiplicity and uniqueness of positive solutions for a superlinear-singular $(p,q)$-Laplacian equation on locally finite graphs"
11,11,26,2503.22077v1,Boundedness and Morawetz estimates on subextremal Kerr de Sitter
12,12,26,2503.22070v1,Quantum Quasi-neutral limits and isothermal Euler Equations
13,13,2,2503.22062v1,Asymptotic limit of the principal eigenvalue of asymmetric nonlocal diffusion operators and propagation dynamics
14,14,18,2503.21944v1,Inverse problems for the Bakry-Émery Laplacian on manifolds with boundary -- uniqueness and non-uniqueness
15,15,2,2503.21940v1,On the existence of normalized solutions to Schrödinger equations
16,16,0,2503.21899v1,Geometric regularity estimates for quasi-linear elliptic models in non-divergence form with strong absorption
17,17,2,2503.21700v1,Normalized solutions of one-dimensional defocusing NLS equations with nonlinear point interactions
18,18,16,2503.21684v1,Decorated phases in triblock copolymers: zeroth- and first-order analysis
19,19,58,2503.21675v1,Reducing of system of partial differential equations and generalized symmetry of ordinary differential equations
20,20,3,2503.21625v1,On the reverse isoperimetric inequality in Gauss space
21,21,22,2503.21604v1,On the dynamics of leapfrogging vortex rings
22,22,0,2503.21580v1,Global higher integrability and Hardy inequalities for double-phase functionals under a capacity density condition
23,23,19,2503.21572v2,Convergence of a Stochastic Particle System to the Continuous Generalized Exchange-Driven Growth Model
24,24,2,2503.21527v1,Dispersive estimates and optimality for Schrödinger equations on product cones
25,25,3,2503.21523v1,A weak energy identity for $(n+α)$-harmonic maps with a free boundary in a sphere
26,26,25,2503.21509v1,Nonlinear Stability of Large-Period Traveling Waves Bifurcating from the Heteroclinic Loop in the FitzHugh-Nagumo Equation
27,27,59,2503.21405v1,On the relativistic effect in the Dirac--Fock theory
28,28,19,2503.21299v1,Microscopic limits of PDEs modeling macroscopic heat conduction
29,29,29,2503.21247v1,Remarks on the commutation relations between the Gauss--Weierstrass semigroup and monomial weights
30,30,10,2503.21245v1,Global Stable Solutions to the Free Boundary Allen--Cahn and Bernoulli Problems in 3D are One-Dimensional
31,31,16,2503.21181v1,Subwavelength Phononic Bandgaps in High-Contrast Elastic Media
32,32,23,2503.21131v1,Long-time dynamics of a parabolic-ODE SIS epidemic model with saturated incidence mechanism
33,33,2,2503.20971v1,Local well-posedness for cubic fractional Schrödinger equations with derivatives on the right-hand side
34,34,2,2503.20955v1,Propagation of Shubin-Sobolev singularities of Weyl-quantizations of complex quadratic forms
35,35,23,2503.20922v1,A kinetic theory approach to consensus formation in financial markets
