node,index,x,y,paper_id,title
0,0,144.5812547536585,-141.59586286278116,2503.22662v1,Three-phase Muskat problem: uniform lifespan with respect to the distance between interfaces
1,1,200.79966087101644,59.723399755623426,2503.22621v1,Improved error estimates for low-regularity integrators using space-time bounds
2,2,25.21905500398021,-349.1235355409712,2503.22599v1,Zero-homogeneous and $O(2)$-equivariant critical points of the Oseen-Frank energy with multiple Frank constants
3,3,140.65137025324097,-5.0886149989470475,2503.22439v1,One dimensional wave equation with in-domain localized damping and Wentzell boundary conditions
4,4,-1214.6836301883154,-610.4677381385216,2503.22432v1,Polynomial stability of wind turbine tower models
5,5,372.1496483244292,-223.4922480872387,2503.22371v1,Critical double phase problems involving sandwich-type nonlinearities
6,6,420.28086596999947,6.15017490702629,2503.22297v1,A posteriori error estimates for the finite element discretization of second-order PDEs set in unbounded domains
7,7,477.16731075820076,408.4836752311911,2503.22274v1,Orr-Sommerfeld equation and complex deformation
8,8,-2.8780945256819845,-254.4237920375613,2503.22142v1,A New Structure for the 2D water wave equation: Energy stability and Global well-posedness
9,9,175.00192126244647,-465.80848619090074,2503.22090v1,Relatively non-degenerate integrated decay estimates on subextremal Kerr de Sitter
10,10,164.1649044074157,-69.1134882182305,2503.22086v1,"Multiplicity and uniqueness of positive solutions for a superlinear-singular $(p,q)$-Laplacian equation on locally finite graphs"
11,11,248.85026317570376,-484.332680554915,2503.22077v1,Boundedness and Morawetz estimates on subextremal Kerr de Sitter
12,12,-174.40314039681982,-194.3400541042088,2503.22070v1,Quantum Quasi-neutral limits and isothermal Euler Equations
13,13,233.8069099656737,-140.42902498033484,2503.22062v1,Asymptotic limit of the principal eigenvalue of asymmetric nonlocal diffusion operators and propagation dynamics
14,14,118.61035500130922,-273.82936876990937,2503.21944v1,Inverse problems for the Bakry-Émery Laplacian on manifolds with boundary -- uniqueness and non-uniqueness
15,15,217.341096459568,-89.13080602627514,2503.21940v1,On the existence of normalized solutions to Schrödinger equations
16,16,305.1100606468031,-268.7152509766867,2503.21899v1,Geometric regularity estimates for quasi-linear elliptic models in non-divergence form with strong absorption
17,17,262.573791947957,-21.345627471535636,2503.21700v1,Normalized solutions of one-dimensional defocusing NLS equations with nonlinear point interactions
18,18,-257.2842099719894,-15.899251773474893,2503.21684v1,Decorated phases in triblock copolymers: zeroth- and first-order analysis
19,19,-795.4448184516685,-1017.8370174800611,2503.21675v1,Reducing of system of partial differential equations and generalized symmetry of ordinary differential equations
20,20,98.3884235670441,-203.89196815304905,2503.21625v1,On the reverse isoperimetric inequality in Gauss space
21,21,378.5918401223765,-216.32265028604658,2503.21604v1,On the dynamics of leapfrogging vortex rings
22,22,434.1518317685259,-177.37767312824107,2503.21580v1,Global higher integrability and Hardy inequalities for double-phase functionals under a capacity density condition
23,23,-32.26018592629211,76.3535493852636,2503.21572v2,Convergence of a Stochastic Particle System to the Continuous Generalized Exchange-Driven Growth Model
24,24,81.33988482016647,-116.12794303632073,2503.21527v1,Dispersive estimates and optimality for Schrödinger equations on product cones
25,25,50.67214160929434,-110.68894968024341,2503.21523v1,A weak energy identity for $(n+α)$-harmonic maps with a free boundary in a sphere
26,26,331.6176585877846,-247.82176448802784,2503.21509v1,Nonlinear Stability of Large-Period Traveling Waves Bifurcating from the Heteroclinic Loop in the FitzHugh-Nagumo Equation
27,27,-1092.549740707127,946.2322022661867,2503.21405v1,On the relativistic effect in the Dirac--Fock theory
28,28,-562.36195250077,-186.17265683937083,2503.21299v1,Microscopic limits of PDEs modeling macroscopic heat conduction
29,29,311.0186728084479,1.930375088807407,2503.21247v1,Remarks on the commutation relations between the Gauss--Weierstrass semigroup and monomial weights
30,30,17.175618214013355,-357.3714181517943,2503.21245v1,Global Stable Solutions to the Free Boundary Allen--Cahn and Bernoulli Problems in 3D are One-Dimensional
31,31,150.07522644929816,-98.58571338034834,2503.21181v1,Subwavelength Phononic Bandgaps in High-Contrast Elastic Media
32,32,522.8886096747889,-143.7702123601156,2503.21131v1,Long-time dynamics of a parabolic-ODE SIS epidemic model with saturated incidence mechanism
33,33,262.7285780607945,-33.92400020346247,2503.20971v1,Local well-posedness for cubic fractional Schrödinger equations with derivatives on the right-hand side
34,34,341.26529687347704,-13.18500254601158,2503.20955v1,Propagation of Shubin-Sobolev singularities of Weyl-quantizations of complex quadratic forms
35,35,73.58941470728956,415.2673678348242,2503.20922v1,A kinetic theory approach to consensus formation in financial markets
36,36,-76.96027531384881,-272.09157375368335,2503.20760v1,Attractors for the Navier--Stokes--Voight equations and their dimension
37,37,199.19302389165262,-59.34935335738592,2503.20747v1,Elliptic boundary-value problems in some distribution spaces of generalized smoothness
38,38,-104.25447983243691,-468.1020497632756,2503.20656v1,The Dirichlet problem for the prescribed curvature equations in Minkowski space
39,39,-1139.6994113846088,-821.1245451003253,2503.20645v1,On conditional uniqueness of solutions to stochastic Navier-Stokes Equations
40,40,112.37694368638186,-990.6910616151204,2503.20643v1,Fast relaxation of a viscous vortex in an external flow
41,41,180.296417079773,188.20032087396729,2503.20628v1,Carleman estimate for full-discrete approximations of the complex Ginzburg-Landau equation with dynamic boundary conditions and applications to controllability
42,42,182.79629049774823,-184.70857295509154,2503.20531v1,Uniqueness of solutions for the logarithmic Schrödinger equation
43,43,-42.221769340459865,160.37544008665654,2503.20524v1,Convergence of thresholding energies for anisotropic mean curvature flow on inhomogeneous obstacle
44,44,108.73423173745164,-182.19408728207688,2503.20480v1,On the decay of mass with respect to an invariant measure for semilinear heat equations in exterior domains
45,45,254.2305166688414,-325.8410919182796,2503.20453v1,The regularity problem with a weaker condition on only the transversal direction
46,46,226.08891032255985,-239.04921072586257,2503.20439v1,The square sticky disk: crystallization and Gamma-convergence to the octagonal anisotropic perimeter
47,47,372.61007191767743,-338.41736306466254,2503.20390v2,"Periodic KPP equations: new insights into persistence, spreading, and the role of advection"
48,48,338.71144960052584,-327.80721196787226,2503.20381v1,Travelling waves in non-local reaction-dispersion equations with diffuse levy measures
49,49,-690.1388779339791,-1220.6959898418402,2503.20370v1,Entropy Production in General Balance Laws
50,50,50.57065692338881,-180.89986602435857,2503.20350v1,A simple proof of reverse Sobolev inequalities on the sphere and Sobolev trace inequalities on the unit ball
51,51,-100.02995397626573,-76.18314675580436,2503.20343v1,Maximal turbulence as a selection criterion for measure-valued solutions
52,52,342.5133440336019,-9.65210646088244,2503.20300v1,Mass concentration of minimizers for $L^2$-subcritical Kirchhoff energy functional in bounded domains
53,53,-56.15309152444247,-517.9533347598748,2503.20292v1,Uniqueness of Ricci flow with scaling invariant estimates
54,54,-140.41862626514956,277.32121507595554,2503.20284v1,A Polynomial Rate of Convergence for the Dirichlet Problem on Orthodiagonal Maps
55,55,242.20485448897398,-45.13591983052715,2503.20277v1,Critical fractional Kirchhoff problems: Uniqueness and Nondegeneracy
56,56,-175.35629787312962,-450.5452414223346,2503.20253v1,Nonlinear asymptotic stability of 2D Taylor-Couette flow in the exterior disk
57,57,-333.2843453764132,555.0970694172348,2503.20109v1,Quasi-Brittle Fracture: The Blended Approach
58,58,183.4468924971691,-59.64941476490918,2503.20075v1,Singular SPDEs with the Cauchy-Riemann operator on a torus
59,59,-313.08467772804954,-68.5917626098443,2503.20038v1,Asymptotic evaluation of three-dimensional integrals with singularities in application to wave phenomena
60,60,-53.566071805049106,-173.75340291408696,2503.20014v1,Diffusion-aggregation equations and volume-preserving mean curvature flows
