index,id,title,authors,field,field_multi,is_AP,is_NA,community,four
0,2503.22662v1,Three-phase Muskat problem: uniform lifespan with respect to the distance between interfaces,Ángel Castro; Liangchen Zou,AP,AP,1,0,17,AP-only
1,2503.22621v1,Improved error estimates for low-regularity integrators using space-time bounds,Maximilian Ruff,AP_NA,AP;NA,1,1,2,AP+NA
2,2503.22599v1,Zero-homogeneous and $O(2)$-equivariant critical points of the Oseen-Frank energy with multiple Frank constants,Luc Nguyen,AP,AP,1,0,26,AP-only
3,2503.22439v1,One dimensional wave equation with in-domain localized damping and Wentzell boundary conditions,Abdelhakim Dahmani; Yacine Chitour; Hoai-Minh Nguyen; Christophe Roman,AP,AP,1,0,12,AP-only
4,2503.22432v1,Polynomial stability of wind turbine tower models,Mohamed Fkirine; Lassi Paunonen,AP,AP,1,0,57,AP-only
5,2503.22371v1,Critical double phase problems involving sandwich-type nonlinearities,Csaba Farkas; Alessio Fiscella; Ky Ho; Patrick Winkert,AP,AP,1,0,0,AP-only
6,2503.22297v1,A posteriori error estimates for the finite element discretization of second-order PDEs set in unbounded domains,T. Chaumont-Frelet,AP_NA,AP;NA,1,1,16,AP+NA
7,2503.22274v1,Orr-Sommerfeld equation and complex deformation,Malo Jézéquel; Jian Wang,AP,AP,1,0,30,AP-only
8,2503.22142v1,A New Structure for the 2D water wave equation: Energy stability and Global well-posedness,Qingtang Su; Siwei Wang,AP,AP,1,0,12,AP-only
9,2503.22090v1,Relatively non-degenerate integrated decay estimates on subextremal Kerr de Sitter,Georgios Mavrogiannis,AP,AP,1,0,26,AP-only
10,2503.22086v1,"Multiplicity and uniqueness of positive solutions for a superlinear-singular $(p,q)$-Laplacian equation on locally finite graphs",Xuechen Zhang; Xingyong Zhang,AP,AP,1,0,0,AP-only
11,2503.22077v1,Boundedness and Morawetz estimates on subextremal Kerr de Sitter,Georgios Mavrogiannis,AP,AP,1,0,26,AP-only
12,2503.22070v1,Quantum Quasi-neutral limits and isothermal Euler Equations,Immanuel Ben Porat; Gui-Qiang G. Chen; Difan Yuan,AP,AP,1,0,26,AP-only
13,2503.22062v1,Asymptotic limit of the principal eigenvalue of asymmetric nonlocal diffusion operators and propagation dynamics,Yihong Du; Xiangdong Fang; Wenjie Ni,AP,AP,1,0,2,AP-only
14,2503.21944v1,Inverse problems for the Bakry-Émery Laplacian on manifolds with boundary -- uniqueness and non-uniqueness,Jack Borthwick; Niky Kamran,AP,AP,1,0,18,AP-only
15,2503.21940v1,On the existence of normalized solutions to Schrödinger equations,Angela Pistoia; Christophe Troestler; Chunhua Wang,AP,AP,1,0,2,AP-only
16,2503.21899v1,Geometric regularity estimates for quasi-linear elliptic models in non-divergence form with strong absorption,Claudemir Alcantara; João Vitor da Silva; Ginaldo Sá,AP,AP,1,0,0,AP-only
